,Conditions,Date,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill
0,Overcast,"Jan. 01, 2016",25.0 °F,,-,,51%,,30.06 in,42.1 °F,,12:51 AM,10.0 mi,Variable,4.6 mph,39.2 °F
1,Overcast,"Jan. 01, 2016",25.0 °F,,-,,53%,,30.06 in,41.0 °F,,1:51 AM,10.0 mi,Variable,3.5 mph,39.0 °F
2,Overcast,"Jan. 01, 2016",26.1 °F,,-,,55%,,30.06 in,41.0 °F,,2:51 AM,10.0 mi,West,4.6 mph,38.0 °F
3,Overcast,"Jan. 01, 2016",26.1 °F,,-,,55%,,30.06 in,41.0 °F,,3:51 AM,10.0 mi,West,9.2 mph,35.2 °F
4,Overcast,"Jan. 01, 2016",26.1 °F,,16.1 mph,,58%,,30.04 in,39.9 °F,,4:51 AM,10.0 mi,West,10.4 mph,33.4 °F
5,Overcast,"Jan. 01, 2016",26.1 °F,,-,,58%,,30.05 in,39.9 °F,,5:51 AM,10.0 mi,WNW,6.9 mph,35.1 °F
6,Overcast,"Jan. 01, 2016",26.1 °F,,-,,60%,,30.06 in,39.0 °F,,6:51 AM,10.0 mi,Calm,Calm,-
7,Overcast,"Jan. 01, 2016",25.0 °F,,-,,57%,,30.05 in,39.0 °F,,7:51 AM,10.0 mi,West,6.9 mph,34.0 °F
8,Partly Cloudy,"Jan. 01, 2016",24.1 °F,,-,,55%,,30.06 in,39.0 °F,,8:51 AM,10.0 mi,West,6.9 mph,34.0 °F
9,Overcast,"Jan. 01, 2016",25.0 °F,,-,,55%,,30.06 in,39.9 °F,,9:51 AM,10.0 mi,WNW,4.6 mph,36.7 °F
10,Overcast,"Jan. 01, 2016",24.1 °F,,19.6 mph,,53%,,30.05 in,39.9 °F,,10:51 AM,10.0 mi,Variable,5.8 mph,35.8 °F
11,Overcast,"Jan. 01, 2016",23.0 °F,,-,,51%,,30.02 in,39.9 °F,,11:51 AM,10.0 mi,West,9.2 mph,33.9 °F
12,Overcast,"Jan. 01, 2016",23.0 °F,,19.6 mph,,51%,,29.99 in,39.9 °F,,12:51 PM,10.0 mi,West,13.8 mph,32.1 °F
13,Overcast,"Jan. 01, 2016",23.0 °F,,21.9 mph,,51%,,29.97 in,39.9 °F,,1:51 PM,10.0 mi,Variable,6.9 mph,35.1 °F
14,Overcast,"Jan. 01, 2016",21.0 °F,,26.5 mph,,49%,,29.98 in,39.0 °F,,2:51 PM,10.0 mi,WNW,11.5 mph,31.8 °F
15,Overcast,"Jan. 01, 2016",19.9 °F,,-,,46%,,29.97 in,39.0 °F,,3:51 PM,10.0 mi,North,-,-
16,Clear,"Jan. 01, 2016",19.9 °F,,18.4 mph,,48%,,29.97 in,37.9 °F,,4:51 PM,10.0 mi,West,11.5 mph,30.5 °F
17,Clear,"Jan. 01, 2016",19.9 °F,,19.6 mph,,48%,,29.99 in,37.9 °F,,5:51 PM,10.0 mi,WNW,8.1 mph,32.1 °F
18,Partly Cloudy,"Jan. 01, 2016",19.9 °F,,18.4 mph,,50%,,30.00 in,37.0 °F,,6:51 PM,10.0 mi,WNW,12.7 mph,28.9 °F
