,Conditions,Date,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill
0,Overcast,"Jan. 01, 2017",25.0 °F,,-,,47%,,29.89 in,44.1 °F,,12:51 AM,10.0 mi,Variable,3.5 mph,42.5 °F
1,Overcast,"Jan. 01, 2017",26.1 °F,,23.0 mph,,49%,0.00 in,29.90 in,44.1 °F,,1:51 AM,10.0 mi,West,4.6 mph,41.5 °F
2,Overcast,"Jan. 01, 2017",25.0 °F,,-,,46%,,29.91 in,45.0 °F,,2:51 AM,10.0 mi,North,-,-
3,Partly Cloudy,"Jan. 01, 2017",25.0 °F,,18.4 mph,,47%,,29.93 in,44.1 °F,,3:51 AM,10.0 mi,WSW,10.4 mph,38.6 °F
4,Mostly Cloudy,"Jan. 01, 2017",24.1 °F,,-,,44%,,29.94 in,45.0 °F,,4:51 AM,10.0 mi,WSW,6.9 mph,41.2 °F
5,Clear,"Jan. 01, 2017",25.0 °F,,-,,47%,,29.99 in,44.1 °F,,5:51 AM,10.0 mi,Variable,3.5 mph,42.5 °F
6,Clear,"Jan. 01, 2017",25.0 °F,,-,,47%,,30.01 in,44.1 °F,,6:51 AM,10.0 mi,North,-,-
7,Clear,"Jan. 01, 2017",26.1 °F,,-,,49%,,30.04 in,44.1 °F,,7:51 AM,10.0 mi,West,8.1 mph,39.5 °F
8,Clear,"Jan. 01, 2017",26.1 °F,,18.4 mph,,49%,,30.09 in,44.1 °F,,8:51 AM,10.0 mi,Variable,5.8 mph,40.8 °F
9,Scattered Clouds,"Jan. 01, 2017",28.0 °F,,19.6 mph,,50%,,30.14 in,46.0 °F,,9:51 AM,10.0 mi,WNW,9.2 mph,41.4 °F
10,Clear,"Jan. 01, 2017",23.0 °F,,18.4 mph,,42%,,30.16 in,45.0 °F,,10:51 AM,10.0 mi,NW,11.5 mph,39.3 °F
11,Clear,"Jan. 01, 2017",23.0 °F,,-,,40%,,30.17 in,46.0 °F,,11:51 AM,10.0 mi,North,-,-
12,Clear,"Jan. 01, 2017",21.9 °F,,-,,37%,,30.17 in,46.9 °F,,12:51 PM,10.0 mi,North,-,-
13,Clear,"Jan. 01, 2017",19.9 °F,,-,,34%,,30.19 in,46.9 °F,,1:51 PM,10.0 mi,Variable,4.6 mph,-
14,Clear,"Jan. 01, 2017",18.0 °F,,-,,32%,,30.22 in,46.9 °F,,2:51 PM,10.0 mi,Variable,4.6 mph,-
15,Clear,"Jan. 01, 2017",18.0 °F,,-,,32%,,30.25 in,46.9 °F,,3:51 PM,10.0 mi,West,5.8 mph,-
16,Clear,"Jan. 01, 2017",17.1 °F,,-,,31%,,30.30 in,46.0 °F,,4:51 PM,10.0 mi,Calm,Calm,-
17,Clear,"Jan. 01, 2017",16.0 °F,,-,,31%,,30.32 in,45.0 °F,,5:51 PM,10.0 mi,Calm,Calm,-
18,Clear,"Jan. 01, 2017",19.0 °F,,-,,38%,,30.35 in,43.0 °F,,6:51 PM,10.0 mi,ENE,3.5 mph,41.3 °F
19,Clear,"Jan. 01, 2017",19.9 °F,,-,,43%,,30.38 in,41.0 °F,,7:51 PM,10.0 mi,ENE,4.6 mph,38.0 °F
20,Clear,"Jan. 01, 2017",18.0 °F,,-,,38%,,30.40 in,42.1 °F,,8:51 PM,10.0 mi,NE,5.8 mph,38.4 °F
21,Clear,"Jan. 01, 2017",18.0 °F,,-,,38%,,30.43 in,42.1 °F,,9:51 PM,10.0 mi,NE,4.6 mph,39.2 °F
22,Clear,"Jan. 01, 2017",19.0 °F,,-,,41%,,30.44 in,41.0 °F,,10:51 PM,10.0 mi,ENE,4.6 mph,38.0 °F
23,Clear,"Jan. 01, 2017",19.9 °F,,-,,43%,,30.42 in,41.0 °F,,11:51 PM,10.0 mi,ENE,8.1 mph,35.8 °F
24,Clear,"Jan. 02, 2017",23.0 °F,,-,,51%,,30.42 in,39.9 °F,,12:51 AM,10.0 mi,ENE,8.1 mph,34.5 °F
25,Clear,"Jan. 02, 2017",28.0 °F,,-,,68%,,30.44 in,37.9 °F,,1:51 AM,10.0 mi,ENE,9.2 mph,31.5 °F
26,Clear,"Jan. 02, 2017",27.0 °F,,-,,65%,,30.44 in,37.9 °F,,2:51 AM,10.0 mi,Variable,5.8 mph,33.5 °F
27,Clear,"Jan. 02, 2017",24.1 °F,,-,,55%,,30.45 in,39.0 °F,,3:51 AM,10.0 mi,East,6.9 mph,34.0 °F
28,Clear,"Jan. 02, 2017",25.0 °F,,-,,60%,,30.47 in,37.9 °F,,4:51 AM,10.0 mi,NE,6.9 mph,32.7 °F
29,Clear,"Jan. 02, 2017",24.1 °F,,-,,57%,,30.47 in,37.9 °F,,5:51 AM,10.0 mi,ENE,6.9 mph,32.7 °F
30,Mostly Cloudy,"Jan. 02, 2017",24.1 °F,,-,,55%,,30.47 in,39.0 °F,,6:51 AM,10.0 mi,Variable,6.9 mph,34.0 °F
31,Overcast,"Jan. 02, 2017",30.0 °F,,-,,76%,0.01 in,30.48 in,37.0 °F,,7:51 AM,10.0 mi,ENE,6.9 mph,31.6 °F
32,Overcast,"Jan. 02, 2017",33.1 °F,,-,,86%,0.02 in,30.49 in,37.0 °F,,8:51 AM,7.0 mi,Variable,4.6 mph,33.3 °F
33,Overcast,"Jan. 02, 2017",34.0 °F,,-,,82%,0.01 in,30.50 in,39.0 °F,,9:51 AM,10.0 mi,ENE,9.2 mph,32.8 °F
34,Light Rain,"Jan. 02, 2017",34.0 °F,Rain,-,,79%,0.00 in,30.49 in,39.9 °F,,10:51 AM,10.0 mi,ENE,8.1 mph,34.5 °F
35,Light Rain,"Jan. 02, 2017",34.0 °F,Rain,-,,82%,0.00 in,30.45 in,39.0 °F,,11:51 AM,10.0 mi,East,9.2 mph,32.8 °F
36,Light Rain,"Jan. 02, 2017",36.0 °F,Rain,17.3 mph,,89%,0.01 in,30.43 in,39.0 °F,,12:51 PM,7.0 mi,East,10.4 mph,32.3 °F
37,Light Rain,"Jan. 02, 2017",36.0 °F,Rain,-,,89%,0.02 in,30.40 in,39.0 °F,,1:51 PM,5.0 mi,East,9.2 mph,32.8 °F
38,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,-,,93%,0.01 in,30.42 in,39.0 °F,,2:19 PM,5.0 mi,East,11.5 mph,31.8 °F
39,Light Rain,"Jan. 02, 2017",37.4 °F,Rain,16.1 mph,,93%,0.02 in,30.42 in,39.2 °F,,2:46 PM,5.0 mi,ENE,10.4 mph,32.5 °F
40,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,-,,93%,0.02 in,30.40 in,39.0 °F,,2:51 PM,5.0 mi,ENE,10.4 mph,32.3 °F
41,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,-,,93%,0.01 in,30.43 in,39.0 °F,,3:02 PM,5.0 mi,ENE,8.1 mph,33.4 °F
42,Overcast,"Jan. 02, 2017",37.0 °F,,-,,93%,0.02 in,30.42 in,39.0 °F,,3:38 PM,9.0 mi,East,10.4 mph,32.3 °F
43,Overcast,"Jan. 02, 2017",37.0 °F,,17.3 mph,,89%,0.02 in,30.40 in,39.9 °F,,3:51 PM,7.0 mi,NE,9.2 mph,33.9 °F
44,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,-,,93%,0.02 in,30.39 in,39.0 °F,,4:51 PM,4.0 mi,East,8.1 mph,33.4 °F
45,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,-,,93%,0.02 in,30.38 in,39.0 °F,,5:51 PM,3.0 mi,ENE,11.5 mph,31.8 °F
46,Light Rain,"Jan. 02, 2017",37.9 °F,Rain,-,,96%,0.02 in,30.40 in,39.0 °F,,6:25 PM,2.5 mi,ENE,10.4 mph,32.3 °F
47,Light Rain,"Jan. 02, 2017",37.9 °F,Rain,-,,96%,0.02 in,30.39 in,39.0 °F,,6:34 PM,3.0 mi,ENE,9.2 mph,32.8 °F
48,Overcast,"Jan. 02, 2017",37.9 °F,,19.6 mph,,96%,0.03 in,30.37 in,39.0 °F,,6:51 PM,4.0 mi,ENE,12.7 mph,31.4 °F
49,Overcast,"Jan. 02, 2017",37.9 °F,,20.7 mph,,96%,,30.36 in,39.0 °F,,7:51 PM,6.0 mi,ENE,12.7 mph,31.4 °F
50,Overcast,"Jan. 02, 2017",37.9 °F,,23.0 mph,,96%,,30.31 in,39.0 °F,,8:51 PM,6.0 mi,ENE,15.0 mph,30.6 °F
51,Overcast,"Jan. 02, 2017",37.9 °F,,21.9 mph,,96%,,30.30 in,39.0 °F,,9:51 PM,5.0 mi,ENE,11.5 mph,31.8 °F
52,Overcast,"Jan. 02, 2017",37.9 °F,,-,,96%,,30.30 in,39.0 °F,,10:51 PM,5.0 mi,ENE,8.1 mph,33.4 °F
53,Light Rain,"Jan. 02, 2017",37.0 °F,Rain,19.6 mph,,93%,0.02 in,30.26 in,39.0 °F,,11:51 PM,2.5 mi,ENE,10.4 mph,32.3 °F
54,Light Rain,"Jan. 03, 2017",37.9 °F,Rain,18.4 mph,,96%,0.01 in,30.27 in,39.0 °F,,12:04 AM,3.0 mi,ENE,13.8 mph,31.0 °F
55,Light Rain,"Jan. 03, 2017",37.9 °F,Rain,19.6 mph,,96%,0.03 in,30.22 in,39.0 °F,,12:51 AM,3.0 mi,ENE,12.7 mph,31.4 °F
56,Light Rain,"Jan. 03, 2017",37.9 °F,Rain,20.7 mph,,96%,0.01 in,30.24 in,39.0 °F,,1:01 AM,2.5 mi,ENE,15.0 mph,30.6 °F
57,Light Rain,"Jan. 03, 2017",37.9 °F,Rain,-,,96%,0.04 in,30.22 in,39.0 °F,,1:51 AM,2.5 mi,ENE,10.4 mph,32.3 °F
58,Light Rain,"Jan. 03, 2017",37.9 °F,Rain,18.4 mph,,96%,0.02 in,30.22 in,39.0 °F,,2:18 AM,3.0 mi,ENE,9.2 mph,32.8 °F
59,Overcast,"Jan. 03, 2017",37.9 °F,,18.4 mph,,96%,0.02 in,30.19 in,39.0 °F,,2:51 AM,4.0 mi,ENE,12.7 mph,31.4 °F
60,Overcast,"Jan. 03, 2017",37.9 °F,,17.3 mph,,96%,0.01 in,30.16 in,39.0 °F,,3:51 AM,6.0 mi,ENE,8.1 mph,33.4 °F
61,Overcast,"Jan. 03, 2017",37.9 °F,,20.7 mph,,96%,,30.13 in,39.0 °F,,4:51 AM,4.0 mi,ENE,9.2 mph,32.8 °F
62,Overcast,"Jan. 03, 2017",37.9 °F,,21.9 mph,,96%,,30.11 in,39.0 °F,,5:51 AM,5.0 mi,East,10.4 mph,32.3 °F
63,Overcast,"Jan. 03, 2017",37.9 °F,,23.0 mph,,96%,,30.07 in,39.0 °F,,6:51 AM,10.0 mi,ENE,12.7 mph,31.4 °F
64,Overcast,"Jan. 03, 2017",39.0 °F,,21.9 mph,,100%,,30.04 in,39.0 °F,,7:51 AM,5.0 mi,East,11.5 mph,31.8 °F
65,Overcast,"Jan. 03, 2017",39.0 °F,,25.3 mph,,97%,,30.05 in,39.9 °F,,8:18 AM,4.0 mi,ENE,12.7 mph,32.5 °F
66,Overcast,"Jan. 03, 2017",39.0 °F,,28.8 mph,,97%,,30.01 in,39.9 °F,,8:51 AM,2.5 mi,ENE,13.8 mph,32.1 °F
67,Overcast,"Jan. 03, 2017",39.0 °F,,23.0 mph,,97%,,29.99 in,39.9 °F,,9:51 AM,2.0 mi,ENE,15.0 mph,31.8 °F
68,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,19.6 mph,,100%,0.00 in,29.99 in,39.9 °F,,10:25 AM,3.0 mi,ENE,11.5 mph,32.9 °F
69,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,28.8 mph,,100%,0.01 in,29.95 in,39.9 °F,,10:51 AM,3.0 mi,East,17.3 mph,31.1 °F
70,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,28.8 mph,,100%,0.00 in,29.95 in,39.9 °F,,11:00 AM,2.0 mi,ENE,12.7 mph,32.5 °F
71,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,24.2 mph,,100%,0.02 in,29.92 in,39.9 °F,,11:18 AM,3.0 mi,ENE,15.0 mph,31.8 °F
72,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,28.8 mph,,96%,0.04 in,29.86 in,41.0 °F,,11:51 AM,4.0 mi,ENE,16.1 mph,32.8 °F
73,Rain,"Jan. 03, 2017",41.0 °F,Rain,27.6 mph,,100%,0.05 in,29.83 in,41.0 °F,,12:41 PM,2.0 mi,East,16.1 mph,32.8 °F
74,Rain,"Jan. 03, 2017",41.0 °F,Rain,25.3 mph,,100%,0.07 in,29.80 in,41.0 °F,,12:51 PM,2.5 mi,ENE,13.8 mph,33.5 °F
75,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,25.3 mph,,100%,0.02 in,29.80 in,41.0 °F,,1:06 PM,3.0 mi,ENE,12.7 mph,33.9 °F
76,Rain,"Jan. 03, 2017",41.0 °F,Rain,24.2 mph,,100%,0.06 in,29.76 in,41.0 °F,,1:43 PM,2.0 mi,ENE,15.0 mph,33.1 °F
77,Rain,"Jan. 03, 2017",41.0 °F,Rain,27.6 mph,,100%,0.08 in,29.72 in,41.0 °F,,1:51 PM,2.0 mi,ENE,17.3 mph,32.5 °F
78,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,29.9 mph,,100%,0.01 in,29.73 in,41.0 °F,,2:05 PM,4.0 mi,ENE,12.7 mph,33.9 °F
79,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,26.5 mph,,96%,0.03 in,29.72 in,42.1 °F,,2:37 PM,2.0 mi,ENE,16.1 mph,34.2 °F
80,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,25.3 mph,,96%,0.03 in,29.69 in,42.1 °F,,2:51 PM,3.0 mi,ENE,16.1 mph,34.2 °F
81,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,25.3 mph,,96%,0.01 in,29.70 in,42.1 °F,,3:11 PM,2.0 mi,ENE,17.3 mph,33.9 °F
82,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,27.6 mph,,96%,0.03 in,29.69 in,42.1 °F,,3:20 PM,1.8 mi,East,12.7 mph,35.2 °F
83,Light Rain,"Jan. 03, 2017",42.1 °F,Rain,23.0 mph,,100%,0.05 in,29.68 in,42.1 °F,,3:39 PM,2.5 mi,ENE,15.0 mph,34.5 °F
84,Rain,"Jan. 03, 2017",41.0 °F,Rain,25.3 mph,,96%,0.08 in,29.65 in,42.1 °F,,3:51 PM,1.5 mi,ENE,12.7 mph,35.2 °F
85,Light Rain,"Jan. 03, 2017",42.1 °F,Rain,28.8 mph,,100%,0.11 in,29.63 in,42.1 °F,,4:33 PM,2.5 mi,ENE,13.8 mph,34.9 °F
86,Light Rain,"Jan. 03, 2017",42.1 °F,Rain,27.6 mph,,100%,0.11 in,29.62 in,42.1 °F,,4:41 PM,5.0 mi,ENE,17.3 mph,33.9 °F
87,Overcast,"Jan. 03, 2017",42.1 °F,,26.5 mph,,97%,0.11 in,29.60 in,43.0 °F,,4:51 PM,10.0 mi,ENE,12.7 mph,36.4 °F
88,Overcast,"Jan. 03, 2017",42.1 °F,,19.6 mph,,97%,,29.60 in,43.0 °F,,5:51 PM,3.0 mi,East,10.4 mph,37.2 °F
89,Light Rain,"Jan. 03, 2017",42.1 °F,Rain,-,,97%,0.00 in,29.62 in,43.0 °F,,6:00 PM,2.0 mi,ENE,10.4 mph,37.2 °F
90,Overcast,"Jan. 03, 2017",43.0 °F,,-,,100%,0.03 in,29.56 in,43.0 °F,,6:51 PM,2.5 mi,ENE,15.0 mph,35.7 °F
91,Overcast,"Jan. 03, 2017",43.0 °F,,-,,100%,,29.55 in,43.0 °F,,7:31 PM,3.0 mi,ENE,6.9 mph,38.8 °F
92,Overcast,"Jan. 03, 2017",43.0 °F,,-,,100%,,29.52 in,43.0 °F,,7:51 PM,3.0 mi,Calm,Calm,-
93,Overcast,"Jan. 03, 2017",42.1 °F,,-,,100%,,29.52 in,42.1 °F,,8:18 PM,2.5 mi,Variable,3.5 mph,40.2 °F
94,Overcast,"Jan. 03, 2017",42.1 °F,,-,,97%,,29.50 in,43.0 °F,,8:51 PM,2.0 mi,Variable,4.6 mph,40.3 °F
95,Overcast,"Jan. 03, 2017",42.1 °F,,-,,100%,,29.52 in,42.1 °F,,9:17 PM,1.8 mi,North,3.5 mph,40.2 °F
96,Overcast,"Jan. 03, 2017",41.0 °F,,-,,100%,,29.52 in,41.0 °F,,9:43 PM,2.5 mi,Variable,3.5 mph,39.0 °F
97,Overcast,"Jan. 03, 2017",41.0 °F,,-,,100%,,29.49 in,41.0 °F,,9:51 PM,2.5 mi,Calm,Calm,-
98,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,-,,100%,0.00 in,29.52 in,41.0 °F,,10:26 PM,3.0 mi,WNW,4.6 mph,38.0 °F
99,Light Rain,"Jan. 03, 2017",41.0 °F,Rain,-,,100%,0.01 in,29.49 in,41.0 °F,,10:51 PM,4.0 mi,Variable,3.5 mph,39.0 °F
100,Light Rain,"Jan. 03, 2017",39.9 °F,Rain,-,,96%,0.02 in,29.50 in,41.0 °F,,11:35 PM,7.0 mi,Variable,3.5 mph,39.0 °F
101,Overcast,"Jan. 03, 2017",41.0 °F,,-,,100%,0.03 in,29.49 in,41.0 °F,,11:51 PM,10.0 mi,Variable,3.5 mph,39.0 °F
102,Overcast,"Jan. 04, 2017",39.9 °F,,-,,96%,,29.48 in,41.0 °F,,12:39 AM,7.0 mi,WNW,5.8 mph,37.1 °F
103,Overcast,"Jan. 04, 2017",39.9 °F,,-,,96%,,29.46 in,41.0 °F,,12:51 AM,6.0 mi,WNW,3.5 mph,39.0 °F
104,Overcast,"Jan. 04, 2017",39.9 °F,,-,,100%,,29.49 in,39.9 °F,,1:07 AM,8.0 mi,West,3.5 mph,37.8 °F
105,Overcast,"Jan. 04, 2017",39.0 °F,,-,,93%,,29.48 in,41.0 °F,,1:44 AM,10.0 mi,Variable,5.8 mph,37.1 °F
106,Overcast,"Jan. 04, 2017",39.0 °F,,-,,93%,,29.46 in,41.0 °F,,1:51 AM,10.0 mi,WNW,5.8 mph,37.1 °F
107,Overcast,"Jan. 04, 2017",39.0 °F,,-,,93%,,29.47 in,41.0 °F,,2:27 AM,10.0 mi,WNW,3.5 mph,39.0 °F
108,Overcast,"Jan. 04, 2017",39.9 °F,,-,,96%,,29.44 in,41.0 °F,,2:51 AM,10.0 mi,WNW,5.8 mph,37.1 °F
109,Overcast,"Jan. 04, 2017",39.9 °F,,-,,92%,,29.46 in,42.1 °F,,3:38 AM,10.0 mi,Variable,3.5 mph,40.2 °F
110,Overcast,"Jan. 04, 2017",39.0 °F,,-,,89%,,29.44 in,42.1 °F,,3:51 AM,10.0 mi,WSW,4.6 mph,39.2 °F
111,Overcast,"Jan. 04, 2017",39.2 °F,,-,,87%,,29.47 in,42.8 °F,,4:46 AM,10.0 mi,North,-,-
112,Overcast,"Jan. 04, 2017",39.0 °F,,-,,89%,,29.44 in,42.1 °F,,4:51 AM,10.0 mi,West,4.6 mph,39.2 °F
113,Overcast,"Jan. 04, 2017",39.0 °F,,-,,89%,,29.46 in,42.1 °F,,5:51 AM,9.0 mi,WSW,8.1 mph,37.1 °F
114,Overcast,"Jan. 04, 2017",39.9 °F,,-,,89%,,29.47 in,43.0 °F,,6:51 AM,7.0 mi,WSW,9.2 mph,37.7 °F
115,Overcast,"Jan. 04, 2017",41.0 °F,,-,,93%,,29.48 in,43.0 °F,,7:51 AM,5.0 mi,Variable,4.6 mph,40.3 °F
116,Overcast,"Jan. 04, 2017",41.0 °F,,-,,89%,,29.50 in,44.1 °F,,8:12 AM,5.0 mi,Calm,Calm,-
117,Overcast,"Jan. 04, 2017",41.0 °F,,-,,89%,,29.50 in,44.1 °F,,8:19 AM,5.0 mi,North,-,-
118,Scattered Clouds,"Jan. 04, 2017",41.0 °F,,-,,86%,,29.49 in,45.0 °F,,8:51 AM,6.0 mi,Variable,4.6 mph,42.6 °F
119,Mostly Cloudy,"Jan. 04, 2017",41.0 °F,,-,,86%,,29.51 in,45.0 °F,,8:59 AM,6.0 mi,Variable,6.9 mph,41.2 °F
120,Mostly Cloudy,"Jan. 04, 2017",41.0 °F,,19.6 mph,,86%,,29.52 in,45.0 °F,,9:06 AM,6.0 mi,WSW,10.4 mph,39.7 °F
121,Overcast,"Jan. 04, 2017",42.1 °F,,-,,86%,,29.53 in,46.0 °F,,9:25 AM,7.0 mi,North,-,-
122,Overcast,"Jan. 04, 2017",41.0 °F,,-,,83%,,29.50 in,46.0 °F,,9:51 AM,7.0 mi,Calm,Calm,-
123,Scattered Clouds,"Jan. 04, 2017",41.0 °F,,-,,80%,,29.53 in,46.9 °F,,10:23 AM,10.0 mi,Variable,4.6 mph,-
124,Scattered Clouds,"Jan. 04, 2017",41.0 °F,,-,,77%,,29.49 in,48.0 °F,,10:51 AM,10.0 mi,WSW,4.6 mph,-
125,Overcast,"Jan. 04, 2017",41.0 °F,,-,,77%,,29.52 in,48.0 °F,,11:32 AM,10.0 mi,North,-,-
126,Overcast,"Jan. 04, 2017",41.0 °F,,-,,77%,,29.50 in,48.0 °F,,11:51 AM,10.0 mi,Variable,6.9 mph,-
127,Overcast,"Jan. 04, 2017",42.1 °F,,-,,74%,,29.51 in,50.0 °F,,12:33 PM,10.0 mi,Variable,4.6 mph,-
128,Overcast,"Jan. 04, 2017",41.0 °F,,-,,71%,,29.49 in,50.0 °F,,12:51 PM,10.0 mi,North,-,-
129,Mostly Cloudy,"Jan. 04, 2017",37.9 °F,,20.7 mph,,61%,,29.48 in,51.1 °F,,1:51 PM,10.0 mi,West,11.5 mph,-
130,Scattered Clouds,"Jan. 04, 2017",34.0 °F,,-,,50%,,29.48 in,52.0 °F,,2:51 PM,10.0 mi,North,-,-
131,Clear,"Jan. 04, 2017",26.1 °F,,27.6 mph,,39%,,29.52 in,50.0 °F,,3:51 PM,10.0 mi,WNW,11.5 mph,-
132,Clear,"Jan. 04, 2017",24.1 °F,,27.6 mph,,41%,,29.53 in,46.9 °F,,4:51 PM,10.0 mi,WNW,16.1 mph,-
133,Clear,"Jan. 04, 2017",23.0 °F,,28.8 mph,,42%,,29.55 in,45.0 °F,,5:51 PM,10.0 mi,West,12.7 mph,38.9 °F
134,Clear,"Jan. 04, 2017",19.0 °F,,31.1 mph,,37%,,29.58 in,44.1 °F,,6:51 PM,10.0 mi,West,17.3 mph,36.5 °F
135,Clear,"Jan. 04, 2017",12.9 °F,,29.9 mph,,32%,,29.62 in,41.0 °F,,7:51 PM,10.0 mi,WNW,12.7 mph,33.9 °F
136,Clear,"Jan. 04, 2017",10.0 °F,,-,,30%,,29.65 in,39.0 °F,,8:51 PM,10.0 mi,North,-,-
137,Clear,"Jan. 04, 2017",12.9 °F,,17.3 mph,,37%,,29.68 in,37.0 °F,,9:51 PM,10.0 mi,West,10.4 mph,29.8 °F
138,Clear,"Jan. 04, 2017",10.9 °F,,-,,37%,,29.71 in,35.1 °F,,10:51 PM,10.0 mi,Variable,5.8 mph,30.1 °F
139,Clear,"Jan. 04, 2017",10.9 °F,,-,,38%,,29.73 in,34.0 °F,,11:51 PM,10.0 mi,North,-,-
