datetime,Conditions,vis,humidity,temp,wind_speed,Clear,Haze,Heavy Rain,Light Rain,Light Snow,Mostly Cloudy,Overcast,Partly Cloudy,Rain,Scattered Clouds,Unknown
2016-04-01 00:00:00,Mostly Cloudy,10.0,75.0,64.0,4.6,0,0,0,0,0,1,0,0,0,0,0
2016-04-01 01:00:00,Overcast,10.0,75.0,64.9,6.9,0,0,0,0,0,0,1,0,0,0,0
2016-04-01 02:00:00,Overcast,10.0,73.0,66.0,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-01 03:00:00,Overcast,10.0,75.0,66.0,4.6,0,0,0,0,0,0,1,0,0,0,0
2016-04-01 04:00:00,Overcast,10.0,73.0,66.9,6.9,0,0,0,0,0,0,1,0,0,0,0
2016-04-01 05:00:00,Mostly Cloudy,10.0,75.0,66.0,4.6,0,0,0,0,0,1,0,0,0,0,0
2016-04-01 13:00:00,Scattered Clouds,10.0,61.0,72.0,5.8,0,0,0,0,0,0,0,0,0,1,0
2016-04-01 14:00:00,Scattered Clouds,10.0,53.0,75.0,11.5,0,0,0,0,0,0,0,0,0,1,0
2016-04-01 15:00:00,Clear,10.0,46.0,78.1,10.4,1,0,0,0,0,0,0,0,0,0,0
2016-04-01 16:00:00,Partly Cloudy,10.0,45.0,78.1,8.1,0,0,0,0,0,0,0,1,0,0,0
2016-04-01 17:00:00,Partly Cloudy,10.0,45.0,77.0,6.9,0,0,0,0,0,0,0,1,0,0,0
2016-04-01 18:00:00,Light Rain,8.0,59.0,71.1,6.9,0,0,0,1,0,0,0,0,0,0,0
2016-04-01 19:00:00,Mostly Cloudy,10.0,75.0,66.0,3.5,0,0,0,0,0,1,0,0,0,0,0
2016-04-01 20:00:00,Overcast,10.0,65.0,69.1,4.6,0,0,0,0,0,0,1,0,0,0,0
2016-04-01 21:00:00,Scattered Clouds,10.0,63.0,69.1,3.5,0,0,0,0,0,0,0,0,0,1,0
2016-04-01 22:00:00,Mostly Cloudy,10.0,49.0,69.8,3.5,0,0,0,0,0,1,0,0,0,0,0
2016-04-01 23:00:00,Mostly Cloudy,10.0,50.0,62.1,3.5,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 00:00:00,Mostly Cloudy,10.0,50.0,61.0,3.5,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 01:00:00,Mostly Cloudy,10.0,47.0,60.1,5.8,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 02:00:00,Light Rain,10.0,56.0,57.9,5.8,0,0,0,1,0,0,0,0,0,0,0
2016-04-02 03:00:00,Overcast,10.0,60.0,55.9,4.6,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 04:00:00,Overcast,10.0,69.0,54.0,6.9,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 05:00:00,Overcast,10.0,69.0,54.0,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 07:00:00,Overcast,10.0,66.0,54.0,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 08:00:00,Overcast,10.0,69.0,54.0,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 09:00:00,Light Rain,4.0,80.0,50.0,5.8,0,0,0,1,0,0,0,0,0,0,0
2016-04-02 10:00:00,Light Rain,4.0,80.0,48.9,5.8,0,0,0,1,0,0,0,0,0,0,0
2016-04-02 11:00:00,Overcast,10.0,80.0,51.1,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 12:00:00,Overcast,10.0,71.0,51.1,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 13:00:00,Overcast,10.0,59.0,52.0,5.8,0,0,0,0,0,0,1,0,0,0,0
2016-04-02 14:00:00,Partly Cloudy,10.0,55.0,55.0,5.8,0,0,0,0,0,0,0,1,0,0,0
2016-04-02 15:00:00,Mostly Cloudy,10.0,59.0,54.0,4.6,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 16:00:00,Scattered Clouds,10.0,51.0,55.0,8.1,0,0,0,0,0,0,0,0,0,1,0
2016-04-02 17:00:00,Mostly Cloudy,10.0,53.0,55.0,5.8,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 18:00:00,Partly Cloudy,10.0,71.0,52.0,3.5,0,0,0,0,0,0,0,1,0,0,0
2016-04-02 19:00:00,Mostly Cloudy,10.0,77.0,50.0,9.2,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 20:00:00,Mostly Cloudy,10.0,80.0,50.0,9.2,0,0,0,0,0,1,0,0,0,0,0
2016-04-02 21:00:00,Clear,10.0,74.0,51.1,8.1,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 00:00:00,Light Rain,8.0,80.0,50.0,8.1,0,0,0,1,0,0,0,0,0,0,0
2016-04-03 01:00:00,Overcast,10.0,82.0,43.0,8.1,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 02:00:00,Overcast,10.0,79.0,41.0,9.2,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 03:00:00,Overcast,10.0,62.0,42.1,9.2,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 04:00:00,Overcast,10.0,60.0,41.0,11.5,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 05:00:00,Overcast,10.0,76.0,37.0,15.0,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 06:00:00,Overcast,10.0,54.0,37.0,18.4,0,0,0,0,0,0,1,0,0,0,0
2016-04-03 07:00:00,Scattered Clouds,10.0,46.0,35.1,18.4,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 08:00:00,Scattered Clouds,10.0,40.0,34.0,16.1,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 09:00:00,Scattered Clouds,10.0,38.0,34.0,17.3,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 10:00:00,Scattered Clouds,10.0,34.0,35.1,20.7,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 11:00:00,Scattered Clouds,10.0,30.0,36.0,17.3,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 12:00:00,Scattered Clouds,10.0,30.0,37.9,11.5,0,0,0,0,0,0,0,0,0,1,0
2016-04-03 13:00:00,Partly Cloudy,10.0,25.0,37.9,15.0,0,0,0,0,0,0,0,1,0,0,0
2016-04-03 14:00:00,Clear,10.0,26.0,39.0,10.4,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 15:00:00,Clear,10.0,23.0,39.9,12.7,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 16:00:00,Clear,10.0,25.0,39.9,13.8,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 17:00:00,Clear,10.0,26.0,39.9,4.6,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 18:00:00,Clear,10.0,26.0,39.9,4.6,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 19:00:00,Clear,10.0,28.0,39.0,4.6,1,0,0,0,0,0,0,0,0,0,0
2016-04-03 20:00:00,Partly Cloudy,10.0,30.0,37.9,4.6,0,0,0,0,0,0,0,1,0,0,0
2016-04-03 21:00:00,Mostly Cloudy,10.0,30.0,37.9,4.6,0,0,0,0,0,1,0,0,0,0,0
2016-04-03 23:00:00,Overcast,10.0,32.0,37.9,4.6,0,0,0,0,0,0,1,0,0,0,0
2016-04-04 01:00:00,Overcast,10.0,41.0,37.0,6.9,0,0,0,0,0,0,1,0,0,0,0
2016-04-04 02:00:00,Overcast,10.0,41.0,36.0,6.9,0,0,0,0,0,0,1,0,0,0,0
